 A.7 Taxa bruta de natalidade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de nascidos vivos por 1.000 habitantes, por ano segundo Região e UF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:1991-2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Região e UF;1991;1991-Fonte;1992;1992-Fonte;1993;1993-Fonte;1994;1994-Fonte;1995;1995-Fonte;1996;1996-Fonte;1997;1997-Fonte;1998;1998-Fonte;1999-Bruta;1999-Padron;1999-Fonte;2000-Bruta;2000-Padron;2000-Fonte;2001-Bruta;2001-Padron;2001-Fonte;2002-Bruta;2002-Padron;2002-Fonte;2003-Bruta;2003-Padron;2003-Fonte;2004-Bruta;2004-Padron;2004-Fonte;2005-Bruta;2005-Padron;2005-Fonte;2006-Bruta;2006-Padron;2006-Fonte;2007-Bruta;2007-Padron;2007-Fonte;2008-Bruta;2008-Padron;2008-Fonte;2009-Bruta;2009-Padron;2009-Fonte;2010-Bruta;2010-Padron;2010-Fonte
 Espírito Santo ; 22,66 ; * ; 22,02 ; * ; 21,54 ; * ; 21,07 ; * ; 20,75 ; * ; 20,47 ; * ; 21,10 ; ** ; 20,21 ; ** ; 20,69 ; 19,50 ; ** ; 18,85 ; 18,38 ; ** ; 18,10 ; 17,65 ; ** ; 17,20 ; 16,78 ; ** ; 16,43 ; 16,03 ; ** ; 16,14 ; 15,75 ; ** ; 15,37 ; 14,99 ; ** ; 14,85 ; 14,50 ; ** ; 14,50 ; 14,35 ; ** ; 15,12 ; 14,95 ; ** ; 15,09 ; 14,84 ; ** ; 14,95 ; 14,78 ; ** 
 Rio de Janeiro ; 18,71 ; * ; 18,34 ; * ; 18,00 ; * ; 17,75 ; * ; 17,51 ; * ; 17,29 ; * ; 19,84 ; ** ; 18,88 ; ** ; 19,43 ; 19,68 ; ** ; 18,01 ; 18,65 ; ** ; 16,65 ; 17,24 ; ** ; 15,77 ; 16,32 ; ** ; 15,61 ; 16,14 ; ** ; 15,29 ; 15,78 ; ** ; 14,50 ; 14,96 ; ** ; 14,04 ; 14,48 ; ** ; 13,78 ; 14,90 ; ** ; 13,77 ; 14,78 ; ** ; 13,72 ; 14,69 ; ** ; 13,66 ; 14,47 ; ** 
 São Paulo ; 19,99 ; * ; 19,77 ; * ; 19,64 ; * ; 19,42 ; * ; 19,29 ; * ; 19,19 ; * ; 20,20 ; ** ; 19,65 ; ** ; 19,95 ; 20,20 ; ** ; 18,57 ; 18,18 ; ** ; 16,81 ; 16,45 ; ** ; 16,33 ; 15,96 ; ** ; 15,77 ; 15,40 ; ** ; 15,75 ; 15,36 ; ** ; 15,30 ; 14,91 ; ** ; 14,70 ; 14,32 ; ** ; 14,29 ; 14,39 ; ** ; 14,89 ; 14,87 ; ** ; 14,76 ; 14,78 ; ** ; 14,66 ; 14,67 ; ** 
 Região Sul ; 21,49 ; * ; 21,01 ; * ; 20,54 ; * ; 20,15 ; * ; 19,77 ; * ; 19,49 ; * ; 19,75 ; ** ; 19,00 ; ** ; 19,24 ; 19,00 ; ** ; 17,96 ; 18,44 ; ** ; 16,34 ; 16,77 ; ** ; 15,78 ; 16,19 ; ** ; 14,97 ; 15,34 ; ** ; 15,13 ; 15,49 ; ** ; 14,54 ; 14,86 ; ** ; 13,88 ; 14,18 ; ** ; 13,13 ; 13,63 ; ** ; 13,79 ; 14,06 ; ** ; 13,60 ; 13,86 ; ** ; 13,72 ; 14,29 ; ** 
 Paraná ; 22,77 ; * ; 22,25 ; * ; 21,82 ; * ; 21,38 ; * ; 21,02 ; * ; 20,72 ; * ; 21,08 ; ** ; 20,02 ; ** ; 19,91 ; 19,59 ; ** ; 18,77 ; 18,89 ; ** ; 17,25 ; 17,36 ; ** ; 16,85 ; 16,95 ; ** ; 15,88 ; 15,95 ; ** ; 15,94 ; 15,99 ; ** ; 15,62 ; 15,64 ; ** ; 14,79 ; 14,79 ; ** ; 14,04 ; 14,34 ; ** ; 14,71 ; 14,63 ; ** ; 14,41 ; 14,48 ; ** ; 14,65 ; 15,09 ; ** 
 Santa Catarina ; 22,55 ; * ; 21,86 ; * ; 21,20 ; * ; 20,66 ; * ; 20,15 ; * ; 19,82 ; * ; 19,71 ; ** ; 19,12 ; ** ; 19,39 ; 18,99 ; ** ; 17,70 ; 17,74 ; ** ; 16,17 ; 16,18 ; ** ; 15,51 ; 15,51 ; ** ; 14,83 ; 14,82 ; ** ; 15,03 ; 14,99 ; ** ; 14,42 ; 14,36 ; ** ; 14,12 ; 14,05 ; ** ; 13,54 ; 13,68 ; ** ; 14,07 ; 14,27 ; ** ; 14,09 ; 13,98 ; ** ; 13,75 ; 13,71 ; ** 
 Rio Grande do Sul ; 19,79 ; * ; 19,44 ; * ; 19,01 ; * ; 18,75 ; * ; 18,41 ; * ; 18,17 ; * ; 18,52 ; ** ; 17,99 ; ** ; 18,53 ; 18,50 ; ** ; 17,35 ; 18,36 ; ** ; 15,58 ; 16,49 ; ** ; 14,92 ; 15,79 ; ** ; 14,19 ; 15,01 ; ** ; 14,42 ; 15,24 ; ** ; 13,57 ; 14,35 ; ** ; 12,89 ; 13,61 ; ** ; 12,04 ; 12,90 ; ** ; 12,75 ; 13,35 ; ** ; 12,54 ; 13,15 ; ** ; 12,79 ; 13,83 ; ** 
 Região Centro-Oeste ; 24,38 ; * ; 23,74 ; * ; 23,21 ; * ; 22,76 ; * ; 22,34 ; * ; 21,93 ; * ; 23,00 ; *** ; 22,37 ; *** ; 21,52 ; 21,03 ; *** ; 21,92 ; 20,61 ; *** ; 21,22 ; 19,96 ; *** ; 20,60 ; 19,37 ; *** ; 20,02 ; 18,81 ; *** ; 19,59 ; 18,38 ; *** ; 18,64 ; 17,48 ; *** ; 17,86 ; 16,74 ; *** ; 16,81 ; 16,29 ; *** ; 17,23 ; 16,65 ; *** ; 16,76 ; 16,26 ; *** ; 16,53 ; 15,85 ; *** 
 Mato Grosso do Sul ; 24,87 ; * ; 24,06 ; * ; 23,37 ; * ; 22,79 ; * ; 22,22 ; * ; 21,92 ; * ; 22,10 ; ** ; 21,00 ; ** ; 20,65 ; 19,70 ; ** ; 19,49 ; 19,33 ; ** ; 18,98 ; 18,89 ; ** ; 18,65 ; 18,56 ; ** ; 18,09 ; 18,00 ; ** ; 18,91 ; 18,80 ; ** ; 18,29 ; 18,17 ; ** ; 17,20 ; 17,07 ; ** ; 16,57 ; 16,65 ; ** ; 17,36 ; 17,82 ; ** ; 17,30 ; 17,39 ; ** ; 17,07 ; 17,02 ; ** 
 Mato Grosso ; 26,81 ; * ; 26,31 ; * ; 25,85 ; * ; 25,44 ; * ; 24,99 ; * ; 24,42 ; * ; 24,51 ; * ; 24,05 ; * ; 23,65 ; 23,04 ; * ; 22,94 ; 21,72 ; * ; 22,23 ; 21,03 ; * ; 21,50 ; 20,33 ; * ; 20,84 ; 19,70 ; * ; 20,09 ; 18,96 ; * ; 19,42 ; 18,30 ; * ; 18,83 ; 17,73 ; * ; 16,28 ; 15,69 ; ** ; 18,22 ; 17,48 ; **** ; 17,54 ; 16,96 ; **** ; 17,24 ; 16,45 ; **** 
 Goiás ; 23,51 ; * ; 22,88 ; * ; 22,30 ; * ; 21,87 ; * ; 21,40 ; * ; 20,83 ; * ; 21,84 ; ** ; 20,98 ; ** ; 19,39 ; 19,12 ; ** ; 21,39 ; 20,25 ; * ; 20,73 ; 19,64 ; * ; 20,10 ; 19,04 ; * ; 19,37 ; 18,32 ; * ; 18,63 ; 17,60 ; * ; 17,90 ; 16,89 ; * ; 17,16 ; 16,19 ; * ; 16,47 ; 16,09 ; * ; 16,37 ; 15,95 ; **** ; 16,02 ; 15,67 ; **** ; 15,71 ; 15,21 ; **** 
